,country3,region,subregion,place_name,station_name,notes,type,icao,lat,lon,elev
0,USA,-,-,Buoy,Hotel,,,KC7H,38.5,-70.7,
1,USA,-,-,Buoy - Moored Centr,Buoy - Moored Centr,,,KQ51,26.017,-87.75,
2,USA,-,-,Pacific Ocean,Ship 4YP,This station was active mainly in the 1970s and 1980s.,,K4YP,50.0,-145.0,
3,USA,-,-,Pacific Ocean,Ship 4YT,This station was active mainly in the 1970s and 1980s.,,K4YT,29.0,135.0,
4,USA,-,-,Wake Island,Wake Island AP,,,PAWK,19.28249028,166.6366611,7.0
5,USA,AK,Aleutians West Census Area,Adak,AP | NAS Adak | Adak AAF | Davis AFB | Mitchell Field,,,PADK,51.883583,-176.642481,5.8
6,USA,AK,Kodiak Island Borough,Akhiok,Akhiok AP,,,PAKH,56.938692,-154.182556,13.4
7,USA,AK,Bethel Census Area,Akiachak,Akiachak,,,KKKI,60.90786472,-161.4350772,5.5
8,USA,AK,Bethel Census Area,Akiachak,Akiachak,,,KZ13,60.90483333,-161.4224444,6.7
9,USA,AK,Bethel Census Area,Akiak,Akiak AP,,,PFAK,60.902897,-161.230583,11.9
10,USA,AK,Aleutians East Borough,Akutan,Akutan,,,KKQA,54.13246694,-165.7853111,0.0
11,USA,AK,-,Akutan,Akutan,ADD/20161013,,PAUT,54.144611,-165.604108,10.0
12,USA,AK,Wade Hampton Census Area,Alakanuk,Alakanuk AP,,,PAUK,62.683056,-164.722194,6.4
13,USA,AK,Dillingham Census Area,Aleknagik,Tripod,,,KZ25,59.26314583,-158.5577553,68.6
14,USA,AK,Dillingham Census Area,Aleknagik,Aleknagik,,,KZ33,59.27397806,-158.6235892,2.1
15,USA,AK,Dillingham Census Area,Aleknagik|Mosquito Point,Aleknagik New AP,,,K5A8,59.28256167,-158.6176725,19.2
16,USA,AK,Yukon-Koyukuk Census Area,Allakaket|New Allakaket,Allakaket AP,,,PFAL,66.551833,-152.622167,134.4
18,USA,AK,Northwest Arctic Borough,Ambler,Ambler,,,PAFM,67.1062,-157.857156,89.3
19,USA,AK,Aleutians West Census Area,Amchitka Island,Amchitka Island,Possible old FAA identifier of PNI but this conflicts with Pohnpei WSO Micronesia.,,PAHT,51.3833,179.2667,71.9
20,USA,AK,North Slope Borough,Anaktuvuk Pass|Anatuvuk Pass,Anaktuvuk Pass AP,,,PAKP,68.133611,-151.743333,641.9
21,USA,AK,,Anchorage,FAA Alaskan Regional Office - Message Center,,,KRAN,,,
22,USA,AK,Anchorage Municipality,Anchorage|Airport Heights,Alaska Rgnl Hospital,,,K2OK,61.21188889,-149.8273694,41.8
23,USA,AK,Anchorage Municipality,Anchorage|Artesian Village,ARTCC,,,PAZA,61.2297,-149.7809,51.0
24,USA,AK,Anchorage Municipality,Anchorage|Bonibrook,Campbell Airstrip,,,KCSR,61.1587,-149.7806111,87.2
25,USA,AK,Anchorage Municipality,Anchorage|Campbell,Campbell Lake Spb,,,K3C3,61.13306111,-149.9419,6.1
26,USA,AK,Matanuska-Susitna Borough,Anchorage|Knik River,Bold,,,KA13,61.34133889,-148.9988806,274.3
27,USA,AK,Anchorage Municipality,Anchorage|Lindale,Merrill Field,,,PAMR,61.213544,-149.844725,41.8
28,USA,AK,Anchorage Municipality,Anchorage|Turnagain Heights,Lake Hood,,,PALH,61.18,-149.9719444,24.1
29,USA,AK,Anchorage Municipality,Anchorage|Turnagain Heights,Ted Stevens Anchorage International AP,,,PANC,61.174156,-149.998189,46.0
30,USA,AK,Anchorage Municipality,Anchorage|Wilson Village,Elmendorf AFB|Elmendorf Field,,,PAED,61.251353,-149.806528,64.9
31,USA,AK,Hoonah-Angoon Census Area,Angoon,Seaplane Base,,,PAGN,57.5,-134.5833333,0.0
32,USA,AK,Bethel Census Area,Aniak,Aniak AP | Aniak Intermediate Field (formerly),,,PANI,61.581597,-159.543042,29.6
33,USA,AK,Annette Island Reserve,Annette,Tamgas Harbor,,,KZ43,55.06799222,-131.5569547,0.0
34,USA,AK,Annette Island Reserve,Annette Island,Annette Island AP | Annette Island Intermediate Field (formerly),,,PANT,55.0425,-131.5722222,36.3
35,USA,AK,Yukon-Koyukuk Census Area,Anvik,Anvik,,,KK40,62.65622389,-160.2054486,15.8
36,USA,AK,Yukon-Koyukuk Census Area,Anvik,Anvik AP,,,PANV,62.647333,-160.190056,90.5
37,USA,AK,Yukon-Koyukuk Census Area,Arctic Village,Arctic Village AP,,,PARC,68.114669,-145.579417,637.6
38,USA,AK,Aleutians West Census Area,Atka,Atka,,,PAAK,52.220583,-174.206194,16.8
39,USA,AK,Bethel Census Area,Atmautluak,Atmautluak,,,K4A2,60.86674556,-162.2731389,5.8
40,USA,AK,North Slope Borough,Atqasuk,Edward Burnell Sr Memorial AP,,,PATQ,70.467111,-157.435667,30.8
41,USA,AK,Aleutians West Census Area,Attu|Navy Town,Casco Cove CGS AP,,,PAAT,52.83254167,173.1755542,26.8
42,USA,AK,-,Badami,Badami,ADD/20161013,,PABP,70.137467,-147.030439,58.0
44,USA,AK,North Slope Borough,Barrow|Browerville,Wiley Post-Will Rogers Memorial AP,,,PABR,71.284861,-156.768583,14.6
45,USA,AK,North Slope Borough,Barter Island|Kaktovik,DEW Station,,,PABA,70.113111,-143.653611,16.8
46,USA,AK,Hoonah-Angoon Census Area,Bartlett Cove,Bartlett Cove,,,KBQV,58.45520778,-135.88517,0.0
47,USA,AK,Nome Census Area,Basin Creek|Summit,Basin Creek,,,KZ47,64.67979472,-165.2998369,43.6
48,USA,AK,Yukon-Koyukuk Census Area,Bear Creek|Folger,Bear Creek 3,,,KZ48,63.57160917,-156.1440506,225.6
49,USA,AK,Aleutians East Borough,Bear Lake|Port Moller,Johnsons Landing,,,KZ52,56.03668556,-160.2662053,39.6
50,USA,AK,Yukon-Koyukuk Census Area,Beaver,Beaver AP,,,PAWB,66.362222,-147.4065,110.9
51,USA,AK,Kenai Peninsula Borough,Beluga,Private,,,PABG,61.172961,-151.045417,26.5
52,USA,AK,Bethel Census Area,Bethel,Bethel,,,KZ59,60.78202528,-161.7431289,4.6
53,USA,AK,Bethel Census Area,Bethel,Bethel AP | Bethel Intermediate Field (formerly),,,PABE,60.778556,-161.837167,39.0
54,USA,AK,Yukon-Koyukuk Census Area,Bettles,Vor Lake Waterlane,,,K2A4,66.89925278,-151.4715528,197.5
55,USA,AK,Yukon-Koyukuk Census Area,Bettles,Field,,,PABT,66.913944,-151.529056,197.2
56,USA,AK,Matanuska-Susitna Borough,Big Lake,Jones Landing,,,KL95,61.55477222,-149.9393361,54.9
57,USA,AK,Matanuska-Susitna Borough,Big Lake|Houston,Beaver Lake,,,KD71,61.58293,-149.831,45.7
58,USA,AK,Matanuska-Susitna Borough,Big Lake|Knik,Brocker Lake,,,K6A7,61.48183889,-149.7732444,30.5
