#ISSUEDATE,EXPIREDATE,ISSUEWFO,MESSAGEID,MESSAGETYPE,WARNINGTYPE
2015-01-03 05:16:00.0,2015-01-03 09:15:00.0,KSHV,30516,WGUS54,FLASH FLOOD
2015-01-03 07:01:00.0,2015-01-03 10:00:00.0,KLZK,30701,WGUS54,FLASH FLOOD
2015-01-03 09:07:00.0,2015-01-03 09:30:00.0,KLCH,30907,WFUS54,TORNADO
2015-01-03 09:15:00.0,2015-01-03 10:00:00.0,KSHV,30915,WUUS54,SEVERE THUNDERSTORM
2015-01-03 09:19:00.0,2015-01-03 10:00:00.0,KSHV,30919,WUUS54,SEVERE THUNDERSTORM
2015-01-03 09:59:00.0,2015-01-03 12:00:00.0,KLZK,30959,WGUS54,FLASH FLOOD
2015-01-03 10:15:00.0,2015-01-03 11:00:00.0,KSHV,31015,WUUS54,SEVERE THUNDERSTORM
2015-01-03 10:19:00.0,2015-01-03 10:45:00.0,KSHV,31019,WFUS54,TORNADO
2015-01-03 10:59:00.0,2015-01-03 11:45:00.0,KSHV,31059,WUUS54,SEVERE THUNDERSTORM
2015-01-03 13:54:00.0,2015-01-03 17:00:00.0,KMEG,31354,WGUS54,FLASH FLOOD
2015-01-03 15:49:00.0,2015-01-03 19:00:00.0,KLZK,31549,WGUS54,FLASH FLOOD
2015-01-03 18:31:00.0,2015-01-03 19:30:00.0,KLIX,31831,WUUS54,SEVERE THUNDERSTORM
2015-01-03 18:51:00.0,2015-01-03 19:15:00.0,KLIX,31851,WHUS54,SPECIAL MARINE
2015-01-03 18:55:00.0,2015-01-03 19:45:00.0,KMOB,31855,WHUS54,SPECIAL MARINE
2015-01-03 19:18:00.0,2015-01-03 19:45:00.0,KLIX,31918,WUUS54,SEVERE THUNDERSTORM
2015-01-03 19:23:00.0,2015-01-03 20:30:00.0,KJAN,31923,WUUS54,SEVERE THUNDERSTORM
2015-01-03 19:29:00.0,2015-01-03 20:00:00.0,KLIX,31929,WFUS54,TORNADO
2015-01-03 19:56:00.0,2015-01-03 20:45:00.0,KJAN,31956,WFUS54,TORNADO
2015-01-03 20:11:00.0,2015-01-03 21:15:00.0,KJAN,32011,WFUS54,TORNADO
2015-01-03 20:21:00.0,2015-01-03 22:15:00.0,KJAN,32021,WGUS54,FLASH FLOOD
2015-01-03 20:25:00.0,2015-01-03 21:00:00.0,KJAN,32025,WFUS54,TORNADO
2015-01-03 20:50:00.0,2015-01-03 21:45:00.0,KJAN,32050,WFUS54,TORNADO
2015-01-03 20:54:00.0,2015-01-03 21:30:00.0,KJAN,32054,WFUS54,TORNADO
2015-01-03 21:05:00.0,2015-01-03 21:45:00.0,KJAN,32105,WUUS54,SEVERE THUNDERSTORM
2015-01-03 21:08:00.0,2015-01-03 22:15:00.0,KJAN,32108,WFUS54,TORNADO
2015-01-03 21:15:00.0,2015-01-03 22:00:00.0,KJAN,32115,WUUS54,SEVERE THUNDERSTORM
2015-01-03 21:34:00.0,2015-01-03 22:15:00.0,KJAN,32134,WUUS54,SEVERE THUNDERSTORM
2015-01-03 21:34:00.0,2015-01-03 22:30:00.0,KCHS,32134,WHUS52,SPECIAL MARINE
2015-01-03 21:37:00.0,2015-01-03 22:15:00.0,KJAN,32137,WFUS54,TORNADO
2015-01-03 21:41:00.0,2015-01-03 22:15:00.0,KMOB,32141,WFUS54,TORNADO
2015-01-03 21:43:00.0,2015-01-04 00:45:00.0,KJAN,32143,WGUS54,FLASH FLOOD
2015-01-03 21:51:00.0,2015-01-03 22:15:00.0,KJAN,32151,WFUS54,TORNADO
2015-01-03 21:56:00.0,2015-01-03 22:45:00.0,KBMX,32156,WUUS54,SEVERE THUNDERSTORM
2015-01-03 22:01:00.0,2015-01-03 23:00:00.0,KJAN,32201,WUUS54,SEVERE THUNDERSTORM
2015-01-03 22:02:00.0,2015-01-03 22:45:00.0,KJAN,32202,WFUS54,TORNADO
2015-01-03 22:02:00.0,2015-01-03 22:45:00.0,KBMX,32202,WFUS54,TORNADO
2015-01-03 22:13:00.0,2015-01-04 01:15:00.0,KJAN,32213,WGUS54,FLASH FLOOD
2015-01-03 22:20:00.0,2015-01-04 01:15:00.0,KJAN,32220,WGUS54,FLASH FLOOD
2015-01-03 22:21:00.0,2015-01-03 23:00:00.0,KMEG,32221,WUUS54,SEVERE THUNDERSTORM
2015-01-03 22:23:00.0,2015-01-03 23:00:00.0,KJAN,32223,WFUS54,TORNADO
2015-01-03 22:24:00.0,2015-01-03 23:00:00.0,KMOB,32224,WFUS54,TORNADO
2015-01-03 22:27:00.0,2015-01-03 23:15:00.0,KBMX,32227,WFUS54,TORNADO
2015-01-03 22:32:00.0,2015-01-03 23:15:00.0,KJAN,32232,WFUS54,TORNADO
2015-01-03 22:34:00.0,2015-01-03 23:15:00.0,KBMX,32234,WFUS54,TORNADO
2015-01-03 22:38:00.0,2015-01-03 23:00:00.0,KMEG,32238,WFUS54,TORNADO
2015-01-03 22:44:00.0,2015-01-03 23:30:00.0,KBMX,32244,WFUS54,TORNADO
2015-01-03 23:13:00.0,2015-01-04 00:00:00.0,KBMX,32313,WFUS54,TORNADO
2015-01-03 23:16:00.0,2015-01-03 23:45:00.0,KBMX,32316,WFUS54,TORNADO
2015-01-03 23:27:00.0,2015-01-04 00:00:00.0,KHUN,32327,WUUS54,SEVERE THUNDERSTORM
2015-01-03 23:39:00.0,2015-01-04 00:30:00.0,KBMX,32339,WUUS54,SEVERE THUNDERSTORM
2015-01-04 00:02:00.0,2015-01-04 00:45:00.0,KBMX,40002,WUUS54,SEVERE THUNDERSTORM
2015-01-04 00:11:00.0,2015-01-04 03:00:00.0,KBMX,40011,WGUS54,FLASH FLOOD
2015-01-04 00:34:00.0,2015-01-04 03:45:00.0,KJAN,40034,WGUS54,FLASH FLOOD
2015-01-04 00:43:00.0,2015-01-04 04:45:00.0,KHUN,40043,WGUS54,FLASH FLOOD
2015-01-04 00:52:00.0,2015-01-04 04:15:00.0,KJAN,40052,WGUS54,FLASH FLOOD
2015-01-04 00:59:00.0,2015-01-04 01:45:00.0,KJAN,40059,WGUS54,FLASH FLOOD
2015-01-04 02:24:00.0,2015-01-04 03:15:00.0,KBMX,40224,WUUS54,SEVERE THUNDERSTORM
2015-01-04 02:44:00.0,2015-01-04 03:30:00.0,KBMX,40244,WUUS54,SEVERE THUNDERSTORM
2015-01-04 02:48:00.0,2015-01-04 03:15:00.0,KBMX,40248,WFUS54,TORNADO
2015-01-04 05:26:00.0,2015-01-04 06:30:00.0,KLIX,40526,WHUS54,SPECIAL MARINE
2015-01-04 06:15:00.0,2015-01-04 12:15:00.0,KFFC,40615,WGUS52,FLASH FLOOD
2015-01-04 06:18:00.0,2015-01-04 07:00:00.0,KLIX,40618,WHUS54,SPECIAL MARINE
2015-01-04 06:42:00.0,2015-01-04 12:45:00.0,KFFC,40642,WGUS52,FLASH FLOOD
2015-01-04 06:52:00.0,2015-01-04 08:00:00.0,KMOB,40652,WHUS54,SPECIAL MARINE
2015-01-04 07:18:00.0,2015-01-04 08:00:00.0,KMOB,40718,WFUS54,TORNADO
2015-01-04 07:23:00.0,2015-01-04 08:15:00.0,KMOB,40723,WFUS54,TORNADO
2015-01-04 07:30:00.0,2015-01-04 08:15:00.0,KMOB,40730,WHUS54,SPECIAL MARINE
2015-01-04 08:04:00.0,2015-01-04 08:45:00.0,KMOB,40804,WUUS54,SEVERE THUNDERSTORM
2015-01-04 08:05:00.0,2015-01-04 09:00:00.0,KMOB,40805,WHUS54,SPECIAL MARINE
2015-01-04 08:14:00.0,2015-01-04 09:00:00.0,KMOB,40814,WFUS54,TORNADO
2015-01-04 08:45:00.0,2015-01-04 09:30:00.0,KMOB,40845,WFUS54,TORNADO
2015-01-04 08:47:00.0,2015-01-04 10:15:00.0,KLIX,40847,WHUS54,SPECIAL MARINE
2015-01-04 09:15:00.0,2015-01-04 10:45:00.0,KMOB,40915,WHUS54,SPECIAL MARINE
2015-01-04 09:20:00.0,2015-01-04 10:00:00.0,KMOB,40920,WFUS54,TORNADO
2015-01-04 09:37:00.0,2015-01-04 10:15:00.0,KBMX,40937,WFUS54,TORNADO
2015-01-04 10:04:00.0,2015-01-04 16:00:00.0,KFFC,41004,WGUS52,FLASH FLOOD
2015-01-04 10:38:00.0,2015-01-04 12:15:00.0,KMOB,41038,WHUS54,SPECIAL MARINE
2015-01-04 11:57:00.0,2015-01-04 13:00:00.0,KMOB,41157,WHUS54,SPECIAL MARINE
2015-01-04 12:18:00.0,2015-01-04 12:45:00.0,KTAE,41218,WUUS52,SEVERE THUNDERSTORM
2015-01-04 12:21:00.0,2015-01-04 16:15:00.0,KFFC,41221,WGUS52,FLASH FLOOD
2015-01-04 12:23:00.0,2015-01-04 13:00:00.0,KTAE,41223,WFUS52,TORNADO
2015-01-04 12:38:00.0,2015-01-04 13:15:00.0,KTAE,41238,WFUS52,TORNADO
2015-01-04 12:47:00.0,2015-01-04 13:45:00.0,KTAE,41247,WHUS52,SPECIAL MARINE
2015-01-04 13:12:00.0,2015-01-04 13:45:00.0,KTAE,41312,WFUS52,TORNADO
2015-01-04 13:23:00.0,2015-01-04 14:15:00.0,KFFC,41323,WUUS52,SEVERE THUNDERSTORM
2015-01-04 13:37:00.0,2015-01-04 14:15:00.0,KTAE,41337,WFUS52,TORNADO
2015-01-04 13:41:00.0,2015-01-04 15:45:00.0,KTAE,41341,WHUS52,SPECIAL MARINE
2015-01-04 14:29:00.0,2015-01-04 15:15:00.0,KTAE,41429,WUUS52,SEVERE THUNDERSTORM
2015-01-04 14:55:00.0,2015-01-04 15:45:00.0,KTAE,41455,WUUS52,SEVERE THUNDERSTORM
2015-01-04 15:24:00.0,2015-01-04 16:00:00.0,KTAE,41524,WFUS52,TORNADO
2015-01-04 15:30:00.0,2015-01-04 17:30:00.0,KTAE,41530,WHUS52,SPECIAL MARINE
2015-01-04 15:34:00.0,2015-01-04 16:15:00.0,KTAE,41534,WUUS52,SEVERE THUNDERSTORM
2015-01-04 15:38:00.0,2015-01-04 16:15:00.0,KTAE,41538,WUUS52,SEVERE THUNDERSTORM
2015-01-04 16:12:00.0,2015-01-04 17:15:00.0,KTAE,41612,WUUS52,SEVERE THUNDERSTORM
2015-01-04 16:37:00.0,2015-01-04 17:00:00.0,KFFC,41637,WUUS52,SEVERE THUNDERSTORM
2015-01-04 17:05:00.0,2015-01-04 19:00:00.0,KTAE,41705,WHUS52,SPECIAL MARINE
2015-01-04 17:15:00.0,2015-01-04 18:00:00.0,KJAX,41715,WUUS52,SEVERE THUNDERSTORM
2015-01-04 17:34:00.0,2015-01-04 18:15:00.0,KTAE,41734,WUUS52,SEVERE THUNDERSTORM
2015-01-04 17:38:00.0,2015-01-04 18:15:00.0,KFFC,41738,WFUS52,TORNADO
2015-01-04 17:52:00.0,2015-01-04 18:30:00.0,KJAX,41752,WUUS52,SEVERE THUNDERSTORM
2015-01-04 18:06:00.0,2015-01-04 18:30:00.0,KFFC,41806,WFUS52,TORNADO
2015-01-04 18:21:00.0,2015-01-04 19:00:00.0,KCHS,41821,WUUS52,SEVERE THUNDERSTORM
2015-01-04 18:57:00.0,2015-01-04 19:30:00.0,KCAE,41857,WUUS52,SEVERE THUNDERSTORM
2015-01-04 19:06:00.0,2015-01-04 19:45:00.0,KCAE,41906,WUUS52,SEVERE THUNDERSTORM
2015-01-04 19:50:00.0,2015-01-04 20:15:00.0,KCHS,41950,WUUS52,SEVERE THUNDERSTORM
2015-01-04 20:03:00.0,2015-01-04 20:45:00.0,KCHS,42003,WFUS52,TORNADO
2015-01-04 20:13:00.0,2015-01-04 21:00:00.0,KRAH,42013,WUUS52,SEVERE THUNDERSTORM
2015-01-04 20:22:00.0,2015-01-04 21:00:00.0,KRAH,42022,WUUS52,SEVERE THUNDERSTORM
2015-01-04 20:29:00.0,2015-01-04 21:15:00.0,KCHS,42029,WFUS52,TORNADO
2015-01-04 20:48:00.0,2015-01-04 21:45:00.0,KCHS,42048,WHUS52,SPECIAL MARINE
2015-01-04 20:52:00.0,2015-01-04 21:45:00.0,KJAX,42052,WHUS52,SPECIAL MARINE
2015-01-04 20:58:00.0,2015-01-04 21:45:00.0,KRAH,42058,WUUS52,SEVERE THUNDERSTORM
2015-01-04 21:45:00.0,2015-01-04 22:45:00.0,KJAX,42145,WHUS52,SPECIAL MARINE
2015-01-04 21:46:00.0,2015-01-04 22:30:00.0,KRAH,42146,WUUS52,SEVERE THUNDERSTORM
2015-01-04 21:54:00.0,2015-01-04 22:30:00.0,KRAH,42154,WFUS52,TORNADO
2015-01-04 22:41:00.0,2015-01-04 23:45:00.0,KJAX,42241,WHUS52,SPECIAL MARINE
2015-01-05 00:22:00.0,2015-01-05 01:00:00.0,KLWX,50022,WHUS51,SPECIAL MARINE
2015-01-05 00:24:00.0,2015-01-05 01:30:00.0,KLWX,50024,WHUS51,SPECIAL MARINE
2015-01-05 00:50:00.0,2015-01-05 01:30:00.0,KLWX,50050,WHUS51,SPECIAL MARINE
2015-01-05 00:52:00.0,2015-01-05 01:30:00.0,KLWX,50052,WHUS51,SPECIAL MARINE
2015-01-05 01:07:00.0,2015-01-05 02:00:00.0,KLWX,50107,WHUS51,SPECIAL MARINE
2015-01-05 01:16:00.0,2015-01-05 02:15:00.0,KPHI,50116,WHUS51,SPECIAL MARINE
2015-01-05 01:33:00.0,2015-01-05 02:15:00.0,KLWX,50133,WHUS51,SPECIAL MARINE
2015-01-05 01:42:00.0,2015-01-05 02:15:00.0,KPHI,50142,WUUS51,SEVERE THUNDERSTORM
2015-01-05 01:51:00.0,2015-01-05 02:30:00.0,KPHI,50151,WHUS51,SPECIAL MARINE
2015-01-05 02:07:00.0,2015-01-05 03:15:00.0,KAKQ,50207,WHUS51,SPECIAL MARINE
2015-01-05 02:12:00.0,2015-01-05 03:45:00.0,KLWX,50212,WHUS51,SPECIAL MARINE
2015-01-05 03:01:00.0,2015-01-05 04:15:00.0,KAKQ,50301,WHUS51,SPECIAL MARINE
2015-01-05 03:19:00.0,2015-01-05 04:15:00.0,KAKQ,50319,WHUS51,SPECIAL MARINE
2015-01-05 04:11:00.0,2015-01-05 05:15:00.0,KAKQ,50411,WHUS51,SPECIAL MARINE
2015-01-11 10:41:00.0,2015-01-11 11:45:00.0,KHGX,111041,WHUS54,SPECIAL MARINE
2015-01-11 11:43:00.0,2015-01-11 12:45:00.0,KHGX,111143,WHUS54,SPECIAL MARINE
2015-01-11 12:45:00.0,2015-01-11 14:45:00.0,KHGX,111245,WHUS54,SPECIAL MARINE
2015-01-11 15:08:00.0,2015-01-11 16:45:00.0,KHGX,111508,WHUS54,SPECIAL MARINE
2015-01-11 15:41:00.0,2015-01-11 16:45:00.0,KLCH,111541,WHUS54,SPECIAL MARINE
2015-01-11 16:43:00.0,2015-01-11 17:45:00.0,KLCH,111643,WHUS54,SPECIAL MARINE
2015-01-11 17:38:00.0,2015-01-11 18:45:00.0,KLCH,111738,WHUS54,SPECIAL MARINE
2015-01-12 00:19:00.0,2015-01-12 01:15:00.0,KLIX,120019,WHUS54,SPECIAL MARINE
2015-01-12 03:00:00.0,2015-01-12 04:30:00.0,KLIX,120300,WHUS54,SPECIAL MARINE
2015-01-12 07:46:00.0,2015-01-12 09:15:00.0,KLIX,120746,WHUS54,SPECIAL MARINE
2015-01-12 09:07:00.0,2015-01-12 09:30:00.0,KLIX,120907,WHUS54,SPECIAL MARINE
2015-01-12 12:06:00.0,2015-01-12 12:30:00.0,KCHS,121206,WHUS52,SPECIAL MARINE
2015-01-12 19:24:00.0,2015-01-12 21:00:00.0,KJAX,121924,WHUS52,SPECIAL MARINE
2015-01-12 21:17:00.0,2015-01-12 23:15:00.0,KMLB,122117,WHUS52,SPECIAL MARINE
2015-01-12 21:18:00.0,2015-01-12 22:45:00.0,KJAX,122118,WHUS52,SPECIAL MARINE
2015-01-18 14:58:00.0,2015-01-18 16:00:00.0,KMHX,181458,WHUS52,SPECIAL MARINE
2015-01-18 15:49:00.0,2015-01-18 16:30:00.0,KMHX,181549,WHUS52,SPECIAL MARINE
2015-01-18 15:55:00.0,2015-01-18 17:00:00.0,KMHX,181555,WHUS52,SPECIAL MARINE
2015-01-18 16:13:00.0,2015-01-18 16:45:00.0,KMHX,181613,WHUS52,SPECIAL MARINE
2015-01-18 16:27:00.0,2015-01-18 17:00:00.0,KMHX,181627,WHUS52,SPECIAL MARINE
2015-01-18 16:57:00.0,2015-01-18 18:00:00.0,KMHX,181657,WHUS52,SPECIAL MARINE
2015-01-18 17:04:00.0,2015-01-18 18:00:00.0,KMHX,181704,WHUS52,SPECIAL MARINE
2015-01-18 20:01:00.0,2015-01-18 22:00:00.0,KOKX,182001,WHUS51,SPECIAL MARINE
2015-01-18 20:01:00.0,2015-01-18 22:00:00.0,KOKX,182002,WHUS51,SPECIAL MARINE
2015-01-18 22:21:00.0,2015-01-19 00:00:00.0,KOKX,182221,WHUS51,SPECIAL MARINE
2015-01-18 22:22:00.0,2015-01-19 00:15:00.0,KOKX,182222,WHUS51,SPECIAL MARINE
2015-01-18 22:31:00.0,2015-01-18 23:15:00.0,KOKX,182231,WUUS51,SEVERE THUNDERSTORM
2015-01-18 23:37:00.0,2015-01-19 01:30:00.0,KOKX,182337,WHUS51,SPECIAL MARINE
2015-01-18 23:44:00.0,2015-01-19 00:45:00.0,KOKX,182344,WHUS51,SPECIAL MARINE
2015-01-19 00:48:00.0,2015-01-19 01:45:00.0,KBOX,190048,WHUS51,SPECIAL MARINE
2015-01-19 01:06:00.0,2015-01-19 02:30:00.0,KBOX,190106,WHUS51,SPECIAL MARINE
2015-01-19 01:51:00.0,2015-01-19 03:45:00.0,KBOX,190151,WHUS51,SPECIAL MARINE
2015-01-19 03:46:00.0,2015-01-19 04:45:00.0,KBOX,190346,WHUS51,SPECIAL MARINE
2015-01-22 14:30:00.0,2015-01-22 16:00:00.0,KCRP,221430,WHUS54,SPECIAL MARINE
2015-01-22 15:56:00.0,2015-01-22 18:00:00.0,KCRP,221556,WHUS54,SPECIAL MARINE
2015-01-22 18:54:00.0,2015-01-22 19:30:00.0,KHGX,221854,WHUS54,SPECIAL MARINE
2015-01-22 19:00:00.0,2015-01-22 21:00:00.0,KHGX,221900,WGUS54,FLASH FLOOD
2015-01-22 19:27:00.0,2015-01-22 21:30:00.0,KHGX,221927,WHUS54,SPECIAL MARINE
2015-01-22 20:29:00.0,2015-01-22 22:30:00.0,KLCH,222029,WHUS54,SPECIAL MARINE
